,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???????,"Museum of Drinking Water, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.013056,121.53,https://maps.google.com/?q=Museum+of+Drinking+Water&ftid=0x3442a9f34a57783f:0x6f09a379ebd904f9,Museum of Drinking Water,33,795,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E6%B0%B4%E9%81%93%E6%B0%B4%E6%BA%90%E5%9C%B0,,0.0
????,"110, Taiwan, Taipei City, Xinyi District, ????????????48?",0,0,25.046945,121.56313,https://maps.google.com/?cid=5022861519947288067,????,114,3672,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E6%A9%9F%E5%BB%A0,,0.0
?????,"No. 89, Section 2, Minquan Rd, West Central District, Tainan City, Taiwan 700",0,0,22.99440899999999,120.2047123,https://maps.google.com/?cid=15619853192236046967,???,68,1765,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%8C%97%E6%A5%B5%E6%AE%BF,,0.0
????,"No. 1001, Daxue Rd, East District, Hsinchu City, Taiwan 300",0,0,24.7859146,120.996735,https://maps.google.com/?cid=7373825810986753486,National Chiao Tung University Kuang-Fu Campus,178,3257,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E4%BA%A4%E9%80%9A,,0.0
????????,"Da?an District, Taipei City, Taiwan 106",0,0,25.0327519,121.526762,https://maps.google.com/?cid=17638754612567446456,Remains of Taipei prison walls,38,812,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E7%9B%A3%E7%8D%84%E5%9C%8D%E7%89%86%E9%81%BA%E8%B9%9F,,0.0
???,"Taitung County, Taiwan",0,0,22.7972447,121.0713702,"https://maps.google.com/?q=Taitung+County,+Taiwan&ftid=0x346fb8d2a52a0401:0xcf6871e475b3f2ff",Taitung County,332,6050,https://zh.wikipedia.org/wiki/%E8%87%BA%E6%9D%B1%E7%B8%A3,"{'northeast': {'lng': 121.6012212, 'lat': 23.443723}, 'southwest': {'lng': 120.739058, 'lat': 22.0009719}}",0.0
?????,"No. 40?, Zhongyang St, Magong City, Penghu County, Taiwan 880",0,0,23.5651411,119.5649858,https://maps.google.com/?cid=6105043372494825628,???,9,243,https://zh.wikipedia.org/wiki/%E5%9B%9B%E7%9C%BC%E4%BA%95,,0.0
????,"?, No. 4?????????? Taiwan 704",0,0,22.9987855,120.2125901,https://maps.google.com/?cid=14441177844477146247,????,214,3562,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E8%BB%8A%E7%AB%99,,0.0
???????,"Lane 225, Section 2, Ximen Rd, West Central District, Tainan City, Taiwan 700",0,0,22.995428,120.198991,https://maps.google.com/?cid=1091839520414717920,?????,37,884,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E7%9F%B3%E9%BC%8E%E7%BE%8E%E5%8F%A4%E5%AE%85,,0.0
????,"No. 1, Ketagalan Blvd, Zhongzheng District, Taipei City, Taiwan 10048",0,0,25.039805,121.515877,https://maps.google.com/?cid=13677724230186525203,Taipei Guest House,188,5110,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E8%B3%93%E9%A4%A8,,0.0
?????,"No. 110, Section 1, Minquan Rd, West Central District, Tainan City, Taiwan 700",0,0,22.9904767,120.2093465,https://maps.google.com/?cid=9872973231660636247,???,64,1284,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E6%9D%B1%E5%B6%BD%E6%AE%BF,,0.0
????,"No. 114, Section 1, Zhongxiao W Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.0473404,121.511431,https://maps.google.com/?cid=10284236378171861632,Taipei Post Office,75,1758,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E9%83%B5%E5%B1%80,,0.0
?????????,"700, Taiwan, Tainan City, West Central District, Lane 5, Zhongzheng Rd, 1?3?",0,0,22.9912474,120.2046484,https://maps.google.com/?cid=12479489531961578725,Tainan Municipal Administration of Cultural Heritage,49,476,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%87%E5%8C%96%E8%B3%87%E7%94%A2,,0.0
