,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
?????,"903, Taiwan, Pingtung County, Majia Township, ??104?",48,3827,22.7066484,120.653563,https://maps.google.com/?cid=3085361070587486334,????????????????,348,10738,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E5%8E%9F%E4%BD%8F%E6%B0%91%E6%97%8F,,256.05027622476973
????????,"No. 3, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",51,3514,25.043457,121.51939,https://maps.google.com/?cid=3285119993885812848,?????,180,6500,https://zh.wikipedia.org/wiki/%E6%BF%9F%E5%8D%97%E5%9F%BA%E7%9D%A3%E9%95%B7%E8%80%81%E6%95%99%E6%9C%83,,255.14377167405524
??????,"No. 88, Section 4, Tingzhou Rd, Wenshan District, Taipei City, Taiwan 116",46,3400,25.0081215,121.5359759,https://maps.google.com/?cid=3340513739988808821,National Taiwan Normal University Gongguan Campus,275,7105,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8,,237.89593724154005
????,"235, Taiwan, New Taipei City, Zhonghe District, Zhonghe Rd, 480?3?",46,3199,25.004195,121.5125689,https://maps.google.com/?cid=2041155110433032311,???,173,5215,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%BC%AB%E7%95%AB,,236.64391304516928
?????,"China, Shanxi Sheng, Xinzhou Shi, Dingxiang Xian, ???",71,3332,38.590076,113.109309,https://maps.google.com/?cid=9151949401578621863,?????,303,6849,https://zh.wikipedia.org/wiki/%E9%98%8E%E9%94%A1%E5%B1%B1,,233.9540593890331
????,"No. 125, Xingnong Rd, Zhongli District, Taoyuan City, Taiwan 320",58,3214,24.9733807,121.2579248,https://maps.google.com/?cid=8921542232969929203,Bank Of Taiwan,243,5259,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E9%8A%80%E8%A1%8C,,232.7043882799274
???,Kinmen County,56,3357,24.4493726,118.3766352,https://maps.google.com/?q=Kinmen+County&ftid=0x346b306390d98b9d:0xd23521cb169ab683,Kinmen County,423,8809,https://zh.wikipedia.org/wiki/%E9%87%91%E9%96%80%E7%B8%A3,"{'southwest': {'lat': 24.3852147, 'lng': 118.2114561}, 'northeast': {'lat': 24.5295396, 'lng': 118.4784468}}",225.5648829734515
??,Kinmen County,56,3357,24.4493726,118.3766352,https://maps.google.com/?q=Kinmen+County&ftid=0x346b306390d98b9d:0xd23521cb169ab683,Kinmen County,423,8809,https://zh.wikipedia.org/wiki/%E9%87%91%E9%96%80%E7%B8%A3,"{'southwest': {'lat': 24.3852147, 'lng': 118.2114561}, 'northeast': {'lat': 24.5295396, 'lng': 118.4784468}}",225.5648829734515
????,"No. 105, Section 2, Dongda Rd, North District, Hsinchu City, Taiwan 300",73,3179,24.8141532,120.9668039,https://maps.google.com/?cid=14060522465639048524,Military Community Museum,337,7669,https://zh.wikipedia.org/wiki/%E7%9C%B7%E6%9D%91,,220.25022807308557
????,"No. 236, Section 1, Zhongshan Rd, Yonghe District, New Taipei City, Taiwan 234",59,3187,25.007963,121.507808,https://maps.google.com/?cid=10286619116661793637,???????,334,8691,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%AE%97%E6%95%99,,218.12780078870094
